Name,PD Notation
3_1,[[1;5;2;4];[3;1;4;6];[5;3;6;2]]
4_1,[[4;2;5;1];[8;6;1;5];[6;3;7;4];[2;7;3;8]]
5_1,[[2;8;3;7];[4;10;5;9];[6;2;7;1];[8;4;9;3];[10;6;1;5]]
5_2,[[1;5;2;4];[3;9;4;8];[5;1;6;10];[7;3;8;2];[9;7;10;6]]
6_1,[[1;7;2;6];[3;10;4;11];[5;3;6;2];[7;1;8;12];[9;4;10;5];[11;9;12;8]]
6_2,[[1;8;2;9];[3;11;4;10];[5;1;6;12];[7;2;8;3];[9;7;10;6];[11;5;12;4]]
6_3,[[4;2;5;1];[8;4;9;3];[12;9;1;10];[10;5;11;6];[6;11;7;12];[2;8;3;7]]
7_1,[[1;9;2;8];[3;11;4;10];[5;13;6;12];[7;1;8;14];[9;3;10;2];[11;5;12;4];[13;7;14;6]]
7_2,[[2;10;3;9];[4;14;5;13];[6;12;7;11];[8;2;9;1];[10;8;11;7];[12;6;13;5];[14;4;1;3]]
7_3,[[1;9;2;8];[3;11;4;10];[5;1;6;14];[7;13;8;12];[9;3;10;2];[11;5;12;4];[13;7;14;6]]
7_4,[[2;10;3;9];[4;12;5;11];[6;14;7;13];[8;4;9;3];[10;2;11;1];[12;8;13;7];[14;6;1;5]]
7_5,[[2;10;3;9];[4;2;5;1];[6;14;7;13];[8;12;9;11];[10;4;11;3];[12;6;13;5];[14;8;1;7]]
7_6,[[1;13;2;12];[3;9;4;8];[5;1;6;14];[7;10;8;11];[9;3;10;2];[11;6;12;7];[13;5;14;4]]
7_7,[[1;10;2;11];[3;13;4;12];[5;14;6;1];[7;5;8;4];[9;2;10;3];[11;9;12;8];[13;6;14;7]]
8_1,[[1;9;2;8];[3;7;4;6];[5;12;6;13];[7;3;8;2];[9;1;10;16];[11;15;12;14];[13;4;14;5];[15;11;16;10]]
8_2,[[1;10;2;11];[3;13;4;12];[5;15;6;14];[7;1;8;16];[9;2;10;3];[11;9;12;8];[13;5;14;4];[15;7;16;6]]
8_3,[[6;2;7;1];[14;10;15;9];[10;5;11;6];[12;3;13;4];[4;11;5;12];[2;13;3;14];[16;8;1;7];[8;16;9;15]]
8_4,[[2;11;3;12];[4;9;5;10];[6;16;7;15];[8;14;9;13];[10;1;11;2];[12;3;13;4];[14;8;15;7];[16;6;1;5]]
8_5,[[1;7;2;6];[3;9;4;8];[5;12;6;13];[7;3;8;2];[9;15;10;14];[11;1;12;16];[13;4;14;5];[15;11;16;10]]
8_6,[[2;9;3;10];[4;14;5;13];[6;16;7;15];[8;12;9;11];[10;1;11;2];[12;8;13;7];[14;6;15;5];[16;4;1;3]]
8_7,[[2;9;3;10];[4;14;5;13];[6;15;7;16];[8;1;9;2];[10;5;11;6];[12;4;13;3];[14;12;15;11];[16;7;1;8]]
8_8,[[1;7;2;6];[3;12;4;13];[5;9;6;8];[7;3;8;2];[9;16;10;1];[11;14;12;15];[13;4;14;5];[15;10;16;11]]
8_9,[[6;2;7;1];[14;8;15;7];[10;3;11;4];[2;13;3;14];[12;5;13;6];[4;11;5;12];[16;10;1;9];[8;16;9;15]]
8_10,[[2;14;3;13];[4;9;5;10];[6;11;7;12];[8;15;9;16];[10;5;11;6];[12;2;13;1];[14;7;15;8];[16;4;1;3]]
8_11,[[1;10;2;11];[3;13;4;12];[5;15;6;14];[7;1;8;16];[9;2;10;3];[11;9;12;8];[13;7;14;6];[15;5;16;4]]